#ID,ID_strumento,Azione,NumeroValore,Borsa,Domestico,Eliminazione,Ticker,BenchmarkVAR,Strike,NumeroValoreSottostante,Maturity,Tipo,Posizione,Ratio,ISIN,rowguid
1718,1,Argento once,287613,NYSE,0,0,bianchi9,,,,,Azioni,,,,2A10A459-3AFA-4E5D-A8F5-F07CEFFA156F
1720,1,PKB INTERNATIONAL EQUITIES FUND,287770,ZH,0,0,bianchi11,,,,,Azioni,,,,F19CBA5B-CEA5-4929-961F-A1FA6D6DDD8F
1876,29,CS Sicav Total Return Challenger,2900785EU,DAXEU,0,0,LU0285060587EUR.SUF,,,,,Investimenti alternativi,,,LU0285060587,9742B4D8-0CCC-4E8A-AC38-77AC7B02BBE1
238,1,Julius Baer,2975865CH,ZH,0,0,BAER.S,,,,,Azioni,,,CH0029758650,27623E36-9674-4BA3-9F61-A46EAC9F7E42
618,1,Liechtensteinische Landesbank AG,3019524CH,ZH,1,0,LLB.S,,,,,Azioni,,,LI0030195247,63941A5D-2D61-46C4-B943-5C22417A8E34
1721,1,GUIDANT CORP,306375,NYSE,0,0,bianchi12,,,,,Azioni,,,,F471914B-182B-4C97-B34D-807B68E52955
1764,1,Covidien Ltd,3196412US,NYSE,0,0,COV,,,,,Azioni,,,BMG2552X1083,0F03CB86-3AA1-4A09-9C65-9E3C2898ABCE
1762,1,Tyco Electronics Ltd,3202239US,NYSE,0,0,TEL,,,,,Azioni,,,BMG9144P1059,24E0A4BA-DD38-41E6-9B22-A5E97ED79154
1877,1,Cominvest Fondak,322378EU,DAXEU,0,0,HJVD.F,,,,,Azioni,,,DE0008471012,D0DD9B47-70C7-438C-A9F7-41E888A81E3F
191,1,Allianz AG,322646CH,ZH,0,0,ALV.S,,,,,Azioni,,,DE0008404005,C91AA62D-1303-4ECD-826F-3C4030B77E3B
189,1,ALLIANZ AG,322646EU,DAXEU,0,0,ALV.XE,,,,,Azioni,,,DE0008404005,7A0A4374-8520-47DB-9434-61BA00E3F324
284,1,STMicroelectronics,322853EU,CACEU,0,1,null23,,,,,Azioni,,,,AE8E0527-D8DF-44F5-9EE8-B18FB7800C4F
242,1,BASF AG,323600EU,DAXEU,0,0,BAS.XE,,,,,Azioni,,,DE0005151005,4737790B-1B7E-4E67-95A9-723F01248151
286,1,Bayer AG Leverkusen,324230CH,ZH,0,0,BAYG.S,,,,,Azioni,,,,D3EB5174-97EC-4374-9926-48F308FDC03C
246,1,BAYER AG,324230EU,DAXEU,0,0,BAY.XE,,,,,Azioni,,,,B7ABA52C-C250-4936-9EC9-6213DFF04ED0
1832,14,Ishares II PLC MSCI Europe,3246398EU,DAXEU,0,0,IE00B1YZSC51EUR.SUF,,,,,Azioni,,,IE00B1YZSC51,FD180CCE-5EB6-4787-8D1A-FDAEACBF066B
910,1,STMicroelectronics,324774EU,CACEU,0,0,STM.PA,,,,,Azioni,,,NL0000226223,3336D3A4-7C11-46F4-8C53-913E7349B29E
1166,1,STMicroelectron Common Stock,324774MI,MIBEU,0,0,STM.MI,,,,,Azioni,,,NL0000226223,15F2A4C3-833F-47CD-84B9-9C536B350C28
1620,1,British Sky Broadcasting Plc,325444,LDN,0,0,bigmac1,,,,,Azioni,,,,560D4431-E575-44A1-9420-B9809D6A4474
1031,1,Washington Mut Common Stock,325959US,NYSE,0,0,WM,,,,,Azioni,,,,D2BB01E4-B035-4CA5-A64D-686485516C5C
291,1,Commerzbank AG,327650D,DAX,0,1,null45,,,,,Azioni,,,,92EC9E7B-8826-4FC5-8891-DAC24AB6C38C
307,1,Commerzbank AG,327650EU,DAXEU,0,0,CBK.XE,,,,,Azioni,,,,C5C0AE00-54B6-416A-A315-5D3FAFDAF5F9
197,1,Daimler Benz AG,328135CH,ZH,0,1,null24,,,,,Azioni,,,,B5812669-05D4-4CCE-960C-2A275699C2BF
198,1,Daimler Benz AG,328135D,DAX,0,1,null25,,,,,Azioni,,,,82C4BF7F-8891-4074-9B13-6070419CDDF7
199,1,Deutsche Bank AG,328500D,DAX,0,1,null44,,,,,Azioni,,,,4E20F129-95B6-4CDC-BEF6-55AD6135B2DE
200,1,Deutsche Bank AG,328500EU,DAXEU,0,1,null26,,,,,Azioni,,,,5A2C53A3-859A-4DD6-B729-1297A55B1412
1634,1,SBC Comm Inc.,330544,NYSE,0,0,bigmac14,,,,,Azioni,,,,0D8CC9E7-DA14-44E9-A284-124B9CB2FCCC
415,1,Dresdner Bk AG,330650D,DAX,0,0,DRSDn.DE,,,,,Azioni,,,,38F9AD99-79A2-4758-B72F-F2F28B6477CF
202,1,Hoechst AG,332290EU,DAXEU,0,1,null43,,,,,Azioni,,,,F957FFF6-CE05-46F4-867B-1EC87CECC8BA
174,1,AHOLD,3333424EU,ASEEU,0,0,AH.AS,,,,,Azioni,,,NL0000331817,4BB36F03-B2D0-412D-87EB-610670C4ACDC
143,1,Barrick Gold Common Stock,337680US,NYSE,0,0,ABX,,,,,Azioni,,,CA0679011084,1270BDC4-1E9A-495C-AB37-D0F4966AE928
1595,1,KALI UND SALZ AG,337898,DAXEU,0,0,palace37,,,,,Azioni,,,,D528C59D-D7E3-4F7F-A007-7BA9C58DD0D6
1656,1,Banco di Desio e della Brianza SPA,338638,MIBEU,0,0,bigmac34,,,,,Azioni,,,,EA00585C-62E8-4C73-B84D-686A7CC7106C
1879,14,UBS EF FCP Em Mkt Infrastructure,3393490US,NYSE,0,0,LU0322492728USD.SUF,,,,,Azioni,,,LU0322492728,EB01AE87-7D52-4A6F-A177-5B80A93CB8D3
614,1,LINDE AG,340045EU,DAXEU,0,0,LIN.XE,,,,,Azioni,,,,BB05FD52-BAEE-4D2C-BBC3-343C5A80CADE
204,1,Mannesmann AG,340650EU,DAXEU,0,1,MMNGn.DE,,,,,Azioni,,,,D323C19B-83F3-4704-8A15-3E41475BE956
1292,31,Hedge Funds Multi US FD/EUR,340772EU,DAXEU,0,0,340772EU,,,,,Investimenti alternativi,,,VGG3716Q1129,44D75F6C-1F10-42F5-80A1-89FC35ED4FDE
639,1,MAN AG,340813EU,DAXEU,0,0,MAN.XE,,,,,Azioni,,,,7AC8BC74-06A5-4BB5-B3C1-7033A4CFD7D3
684,1,Münchener Rückvers.,341960EU,DAXEU,0,0,MUV2.XE,,,,,Azioni,,,,D5CDC6BE-F55F-478E-B4EE-A8C5AC9D6B27
782,1,Preussag AG,344930EU,DAXEU,0,1,TUI.XE,,,,,Azioni,,,,17B99303-096B-45E7-ADC5-CE9A0DFC3E7C
843,1,SAP AG,345952EU,DAXEU,0,0,SAP.XE,,,,,Azioni,,,DE0007164600,F8F1CB5A-C493-488D-922B-D700E73AA36D
844,1,SAP AG,345952ZH,ZH,0,0,SAP.S,,,,,Azioni,,,DE0007164600,4B1A6F42-FA1A-4A68-B530-2B0B16744D66
211,1,SAP AG VZ,345953EU,DAXEU,0,1,null27,,,,,Azioni,,,,57E0FEA3-B1A1-4CF2-BBB4-39468765A769
853,1,Schering AG,347045EU,DAXEU,0,0,SCH.XE,,,,,Azioni,,,,2FFE670B-8CC7-412D-9138-8FCF08B2E77F
1365,14,ENR RUSSIA INVEST,347166CH,ZH,0,0,GRO.S,,,,,Azioni,,,CH0003471668,5383F12A-FCD3-4B36-B4ED-16ED83FAB95C
213,1,SIEMENS,347964D,DAX,0,1,null42,,,,,Azioni,,,,AE6A80D0-DF02-493B-B4A5-2AF75DB7C823
214,1,SIEMENS,347964EU,DAXEU,0,1,null28,,,,,Azioni,,,,D76ACB06-80EF-499B-8795-F5C4A5A50032
1061,14,UBS EF GERMANY UI,348095EU,DAXEU,0,0,348095EU,,,,,Azioni,,,,EDA89F46-7ED5-4D28-A244-101125C406CC
29,14,CS EF European Blue Chips,349506EU,DAXEU,0,0,349506EU,SX5P.STX,,,,Azioni,,,LU0055729916,DCBF736F-FB10-4A18-8AAA-23F1BD5BD288
1469,14,CS EF Spain B,349514EU,IBEXEU,0,0,LU0055731656EUR.SUF,,,,,Azioni,,,LU0055731656,84D9C356-9ACF-4979-8FC8-4628133D3323
217,14,CS EF GER,349518D,DAX,0,0,349518D,,,,,Azioni,,,,97CCB33D-B4B8-4376-B4D9-B091B865A9E0
1467,14,CS EF France B,349525EU,CACEU,0,0,LU0055732209EUR.SUF,,,,,Azioni,,,LU0055732209,5E497848-368B-4529-8DF9-6A32FE58BC33
30,14,CS EF USA,349533US,NYSE,0,0,349533US,,,,,Azioni,,,,3B707AF3-15AC-4C68-909B-618C26E54532
1468,14,CS EF Netherlands B,349541EU,ASEEU,0,0,LU0055734080EUR.SUF,,,,,Azioni,,,LU0055734080,EEC84EAD-C303-4CAE-977E-8BEA90571C0D
1621,1,Thyssen Ag,350060,DAXEU,0,0,bigmac2,,,,,Azioni,,,,007E0F3A-9247-49A8-A0CF-92722FDF0BF1
1457,1,Kuoni Reisen Holding SA,350485CH,ZH,0,0,KUNN.S,,,,,Azioni,,,CH0003504856,9FF5B6B2-D83D-4E1A-94E2-5F4BAF2A0627
446,1,E.ON,351020CH,ZH,0,0,EONG.S,,,,,Azioni,,,,29659385-CA11-42ED-B228-E0EB35E54B1E
220,1,E.ON,351020D,DAX,0,1,null41,,,,,Azioni,,,,A92EB344-648D-473E-A2CE-F448DA0C1FA3
445,1,E.ON,351020EU,DAXEU,0,0,EOAN.XE,,,,,Azioni,,,DE0007614406,544A9738-1A77-4122-AE6C-7C98B5BD93C5
1013,1,Volkswagen AG,352780CH,ZH,0,0,VW.S,,,,,Azioni,,,,F1471C60-63B9-4021-A24F-004CE08F51EE
1011,1,Volkswagen AG,352780EU,DAXEU,0,0,VOW.XE,,,,,Azioni,,,DE0007664005,CFDB15EC-F378-419B-BF8B-9F10914EC461
224,1,BASF AG,353600D,DAX,0,1,null20,,,,,Azioni,,,,1CCFE64A-405C-4C87-A5E5-711CB3508C4D
871,1,SGL Carbon,355063EU,DAXEU,0,0,SGL.F,,,,,Azioni,,,,6BDE62E3-B3A1-43AE-8431-05F66AE3DE7D
226,14,LGT AKT SPEZ.,356692US,NASDAQ,0,0,356692US,,,,,Azioni,,,,BCDD3178-43F7-49D8-AF4B-1AE405A91AD0
147,1,Autostrade Conc. E Costr. Autostrade,357775EU,MIBEU,0,0,AUTO.MI,,,,,Azioni,,,IT0000242948,CDDDBAC5-C7AB-4507-9B11-4B73E38149FE
1442,14,JPM US Small Cap Growth A dist-USD,358435US,NYSE,0,0,LU0053671581USD.SUF,,,,,Azioni,,,LU0053671581,2DAC6F61-D04D-491D-B1BE-A64641597278
1443,14,JPM America Equity A dist-USD,358437US,NYSE,0,0,LU0053666078USD.SUF,,,,,Azioni,,,LU0053666078,141A1334-6BD1-4811-9366-DFC37A770E9E
1462,1,Super de Boer NV,3640946EU,ASEEU,0,0,SDB.AS,,,,,Azioni,,,NL0000340776,41DB7388-6FE2-40E3-9665-6D5D7227D7FD
228,1,Simint SpA,370717EU,MIBEU,0,0,SIMI.MI,,,,,Azioni,,,,8A6ACF5F-EABF-48C9-B6DA-9821FB39242C
1653,1,Vasomedical Inc.,371028,NYSE,0,0,bigmac31,,,,,Azioni,,,,967BEC26-4FBE-41EF-976B-10AED5D60D04
1638,1,Barclays Plc,371770,LDN,0,0,bigmac18,,,,,Azioni,,,,DCAB55CC-9924-4C45-9084-C2ABBD57929E
245,1,British Airways,374255GBP,LDN,0,0,BAY.L,,,,,Azioni,,,,6CB5114A-65BD-42DC-8524-DCFA14315A78
1411,1,FEI Co,374733US,NASDAQ,0,0,FEIC,,,,,Azioni,,,US30241L1098,D491281D-3C9D-4C1B-9C51-0CC18D9EF9C5
230,1,Zurigo Na,375028CH,ZH,1,1,null5,,,,,Azioni,,,,64E3FD9A-48CF-4976-9ADA-179E91A51D7A
231,1,WorldCom,375270US,NASDAQ,0,1,null30,,,,,Azioni,,,,E87C1FAD-975D-47A7-B351-3F4E48FB5418
1558,1,British Telecom Plc,375489,LDN,0,0,palace2,,,,,Azioni,,,,048DD406-E170-401A-A2AD-CEC89F43A0B5
1515,1,Nobel Biocare,3785164CH,ZH,0,0,NOBN.S,,,,,Azioni,,,CH0037851646,4FE3A28E-321F-4262-A116-2DEC092336BA
1887,14,CL Luxury Goods EF,3786484EU,DAXEU,0,0,3786484EU,,,,,Azioni,,,LU0348402537,17CB231B-DB3B-4D31-BE1E-94B2F5D3A475
1581,1,CGNU PLC,379609,LDN,0,0,palace23,,,,,Azioni,,,,DE9EAC8F-2B6C-45FA-9A66-1A7A2B727B21
1582,1,QLT Phototherapeutics Inc.,380517,TSE,0,0,palace24,,,,,Azioni,,,,070DCE47-1FA4-4B9A-8E06-1590B1946783
1374,14,Investec GBL Energy FD A,387029US,NYSE,0,0,387029US,,,,,Azioni,,,GB0003970141,D2415D67-E0D9-4A57-9A30-C73643EC1C85
697,1,Nestle Na,3886335CH,ZH,1,0,NESN.S,,,,,Azioni,,,CH0038863350,A932E12E-9CFB-44EE-85FB-CD302BE14047
1828,1,Electronic Materials,389915,NYSE,0,0,bang6,,,,,Azioni,,,389915,008F02DE-0D47-4495-AEA3-2BD750411688
1830,1,Freeport McMoran Copper & Gold Inc,391280,NYSE,0,0,bang8,,,,,Azioni,,,391280,54F56E36-0DE9-4EC3-A4C5-40F8F85EB002
1795,30,Rights on UBS,3991389CH,ZH,0,0,3991389CH,,,,,Azioni,,,CH0039913899,124E7AD7-3E92-431D-8089-2D0AB7A490BA
785,1,Prudential Common Stock,401267GB,LDN,0,0,PRU.L,,,,,Azioni,,,GB0007099541,0395E74E-D352-4B4F-9057-F487572B5B6B
803,1,Royal Bk Scotld Common Stock,403197GB,LDN,0,0,RBS.L,,,,,Azioni,,,GB0007547838,A7D8E7AD-176D-4BE1-B472-F48EE8B9DA70
1583,1,J. Sainsbury Plc,403712,LDN,0,0,palace25,,,,,Azioni,,,,710559AA-4B5D-4ACB-BDAF-01FF1F03CE35
33,14,CSFB DJ Euro Stoxx50,405606EU,DAXEU,0,0,405606EU,,,,,Azioni,,,,160BE93A-AF49-49D4-B04B-78E0942D7452
1567,1,Anormed Inc,405964,TSE,0,0,palace10,,,,,Azioni,,,,955E4445-4997-4FD0-BEF7-C96751CEDB9F
552,1,HSBC Common Stock,411161GB,LDN,0,0,HSBA.L,,,,,Azioni,,,GB0005405286,04E71D1B-7627-4750-BC94-6F1D6220B56D
1626,1,Thyssen Krupp Ag,412006,DAXEU,0,0,bigmac7,,,,,Azioni,,,,D6CAD68C-ABB1-4AE4-B2C2-575CEC1628DA
233,3,CS BF Short Term,415448CH,ZH,0,0,415448CH,,,,,Azioni,,,,AA4868E2-93E1-49FD-87CB-16FF57EB5242
1690,1,YORK INVESTMENT LTD CLASS A SERIES 1 2002,415772,NYSE,0,0,battle21,,,,,Azioni,,,,A253189C-970E-48FF-A0E9-224B77554EFF
1637,1,TERA COMPUTER,415981,NYSE,0,0,bigmac17,,,,,Azioni,,,,CE068FDF-5358-497F-AA6D-B187B594CE7D
1009,1,Vodafone Group Common Stock,416029GB,LDN,0,0,VOD.L,,,,,Azioni,,,GB0007192106,691D7A24-0070-4ED5-BB17-2ED35724BDDE
1485,14,HSBC GIF Indian Equity AD,417871US,NASDAQ,0,0,LU0066902890,,,,,Azioni,,,LU0066902890,F48A38B7-2FD0-428A-B287-A2248C731A81
235,1,SBC Na,42204CH,ZH,1,0,null6,,,,,Azioni,,,,CD6DDD9E-6355-44F8-BD88-7AA7A708A245
1648,1,LYNX Therapeutics Inc,435012,NYSE,0,0,bigmac28,,,,,Azioni,,,,43831C00-D81A-4D8C-9B50-E64B16B8EAC0
1842,29,Orpheus F3 Fund Class B,4383571EU,DAXEU,0,0,4383571EU,,,,,Investimenti alternativi,,,ANN681722172,61CE8523-2942-4E7E-B7A9-EF572DBD2131
37,14,INVESCO GT Small Companies Series -A-,44102US,NASDAQ,0,0,44102US,INX.X,,,,Azioni,,,,BD64463E-0AAE-4896-A669-62A1CC748B1A
35,14,Invesco GT Jap Fund A,44225US,NASDAQ,0,0,44225US,N225.I,,,,Azioni,,,,7D19AAD5-E9F1-486D-B77A-386F44B715C1
1283,1,Creinvest SA,442297CH,NYSE,0,0,CRE-USD.S,,,,,Azioni,,,,1C58B497-5D38-4628-8407-40AC1E222CE4
1103,31,GT Honshu -A-,44266US,NASDAQ,0,0,44266US,,,,,Azioni,,,,3048099C-5771-4D7E-B9EC-0F6013D519C0
240,31,GT TECHNOL -A-,44280US,NASDAQ,0,0,44280US,,,,,Azioni,,,,214B69EE-A348-41FE-B4F2-2DCE6D7F4CAC
241,1,Novartis Ia,445885CH,ZH,1,1,null21,,,,,Azioni,,,,33309A28-608D-4D56-A6CD-009FA59726EF
632,1,Lucent Tech.,448595US,NYSE,0,0,LU,,,,,Azioni,,,,800C805A-F1EE-4539-B778-3807726BFF1C
1800,1,Reinet Investment,4503016EU,DAXEU,0,0,RNT.GMU,,,,,Azioni,,,LU0383812293,E013862D-DEF5-4EEE-92F1-D963F1B4D0A6
902,1,SPY,45088US,NYSE,0,0,SPY.A,,,,,Azioni,,,US78462F1030,684380F3-FEE1-484B-97EA-690EDE548DD5
1825,29,Orpheus F3 Fundclass,4516530EU,DAXEU,0,0,4516530EU,,,,,Investimenti alternativi,,,4516530EU,B0C37D2F-8435-47AB-9982-ADC6FECE5DBA
1885,1,Cell Therapeutics,4536046US,NYSE,0,0,CTIC.O,,,,,Azioni,,,US1509345039,F4F796F5-B859-478E-8ADD-E136308F3534
244,14,JB Special German Stock Fund,456713EU,DAXEU,0,0,456713EU,,,,,Azioni,,,,D15635B9-34EA-46D4-8C55-BD70E4988A9B
331,1,Ciba Special Common Stock,4604230CH,ZH,0,0,CIBN.S,,,,,Azioni,,,CH0046042302,B9F146C7-106F-4105-B9DE-9C925036FFF8
722,1,Novo Nordisk ADR,461641US,NYSE,0,0,NVO.N,,,,,Azioni,,,US6701002056,3BC21211-B0A9-4199-86B0-0D4208384B5B
1304,31,iShares DJ US Hlth Sec Index,464287762US,NYSE,0,0,IYH,,,,,Azioni,,,US4642877629,16334E30-247C-4C31-94EF-54C85D8579F3
625,1,Logista SA,467061EU,IBEXEU,0,0,LOG.MAC,,,,,Azioni,,,ES0160973014,9485A2A7-9B79-496D-8A5A-BABBF350F5CD
148,14,UBS EF Central Europe,469164EU,DAXEU,0,0,469164EU,,,,,Azioni,,,,2154724E-85C7-47DD-B0C0-246697CFC42E
706,1,Nokia OYJ,472672EU,DAXEU,0,0,NOK1V.OMX,,,,,Azioni,,,FI0009000681,D0570CF2-E283-48B5-9B78-59A55E7816CA
705,1,Nokia Corp ADR,472721US,NYSE,0,0,NOK.N,,,,,Azioni,,,US6549022043,C1A7619B-3720-4F7E-93D6-A868969BF3AD
